key,name,smiles,mpC,csid,link,source,count,min,max,range
16127,Sulfuryl difluoride,FS(F)(=O)=O,-135.8,16647,http://msds.chem.ox.ac.uk/,academic website,2,-135.82,-135.8,0.02
2508,2-chlorothiophene,c1cc(sc1)Cl,-72,7027,http://www.alfa.com/en/GP100W.pgm?DSSTK=A10390,Alfa Aesar,2,-72,-71.9,0.1
13712,m-diethylbenzene,CCc1cccc(CC)c1,-84,8531,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-84,-83.9,0.1
13464,"2,3,3-trimethylpentane",CC(C)C(C)(C)CC,-101,10742,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-101,-100.9,0.1
13308,"2,4-dimethyl-1-pentene",C=C(C)CC(C)C,-124,15794,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-124.1,-124,0.1
13410,1-ethylcyclohexene,CCC=1CCCCC=1,-110,66568,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-110,-109.9,0.1
885,(chloromethyl)cyclopropane,C1CC1CCl,-91,72268,http://www.alfa.com/en/GP100W.pgm?DSSTK=L06986,Alfa Aesar,2,-91,-90.9,0.1
15629,Bromo(chloro)methane,BrCCl,-88,6093,http://msds.chem.ox.ac.uk/,academic website,3,-88,-87.9,0.1
8930,astemizole,COc5ccc(CCN1CCC(CC1)Nc3nc2ccccc2n3Cc4ccc(F)cc4)cc5,149,2160,http://dx.doi.org/10.1021/ci020280x,Bergstrom C. A. S.; Norinder U.; Luthman K.; Artursson P. Molecular Descriptors Influencing Melting Point and Their Role in Classification of Solid Drugs. J. Chem. Inf. Comput. Sci.; (Article); 2003; 43(4); 1177-1376,4,149,149.1,0.1
15353,"3,5,5-Trimethylcyclohex-2-en-1-one",O=C1C=C(C)CC(C)(C)C1,-8,6296,http://msds.chem.ox.ac.uk/,academic website,3,-8.1,-8,0.1
